16384 0.000093281 0.005774570 0.007034690
32768 0.000186296 0.000079145 0.005653929
65536 0.000398285 0.001865455 0.000308584
131072 0.000713780 0.000225610 0.002759208
262144 0.001438568 0.000343292 0.000948331
524288 0.003134933 0.003125697 0.003888329
1048576 0.005024901 0.000895230 0.006673508
2097152 0.010202518 0.003246863 0.010758951
4194304 0.020170575 0.004969477 0.017266343
8388608 0.039859308 0.011270663 0.038468449
16777216 0.080052877 0.020095688 0.048696542
33554432 0.159873026 0.036663525 0.115540072
67108864 0.321719829 0.072489168 0.196610802
