524288 0.000384163 0.000387690 0.000390614
1048576 0.000759910 0.000780774 0.000728937
2097152 0.001524225 0.001444023 0.001540365
4194304             0.002910819 0.002768890
8388608           0.004994734 0.005317961
16777216            0.009959203 0.010215546
33554432            0.019856898 0.020054671
67108864            0.039366770 0.039844601
134217728           0.078793286 0.078837624
268435456           0.156794847 0.157102214
536870912                       0.319227630

