100 1.5393e-05
200 6.3055e-05
300 0.000140103
400 0.000237924
500 0.000380387
600 0.000551752
700 0.000832866
800 0.000903762
900 0.00112938
1000 0.00282417
1100 0.00249812
1200 0.00195008
1300 0.00386016
1400 0.00329293
1500 0.00319687
1600 0.00349191
1700 0.00438812
1800 0.00461997
1900 0.00498066
2000 0.00601284
2100 0.00643627
2200 0.00684965
2300 0.00726901
2400 0.00822892
2500 0.00875583
2600 0.00949204
2700 0.01031
2800 0.0108765
2900 0.0117895
3000 0.0124569
3100 0.0135047
3200 0.0144165
3300 0.0150808
3400 0.0162818
3500 0.017034
3600 0.0184316
3700 0.0195543
3800 0.0204757
3900 0.0216379
4000 0.0225972
4100 0.0241171
4200 0.025131
4300 0.0263877
4400 0.0280865
4500 0.0290582
4600 0.0301773
4700 0.0315533
4800 0.0460904
4900 0.0420911
5000 0.0363436
5100 0.0380222
5200 0.0385079
5300 0.0398956
5400 0.0420239
5500 0.0436185
5600 0.0442152
5700 0.0459104
5800 0.0557489
5900 0.0499095
6000 0.0506938
6100 0.0527915
6200 0.0548041
6300 0.0559397
6400 0.0572951
6500 0.0612048
6600 0.0623447
6700 0.0631847
6800 0.0684654
6900 0.0774077
7000 0.069238
7100 0.0726487
7200 0.0731561
7300 0.0755522
7400 0.0782527
7500 0.0793774
7600 0.0812299
7700 0.0841135
7800 0.0860937
7900 0.0888126
8000 0.0908643
8100 0.0972894
8200 0.0954086
8300 0.1227
8400 0.101777
8500 0.105135
8600 0.105565
8700 0.106351
8800 0.108589
8900 0.112397
9000 0.114254
9100 0.121455
9200 0.12412
9300 0.125524
9400 0.127393
9500 0.126918
9600 0.129502
9700 0.132604
9800 0.136315
9900 0.15921
